,$\sigma_0$ conservative ($cm^2$),$\sigma_0$ progressive ($cm^2$),$\sigma_0$ super conservative ($cm^2$),Mass (GeV)
0,3.5e-26,1.7e-27,3.5e-26,0.0001
1,7.4e-24,3.6e-25,1.5e-23,0.01
2,1.2e-21,3.8e-23,9.8e-22,1.0
